cik,sic,sic_description,company_name,ticker
0000879635,6022,STATE COMMERCIAL BANKS,MID PENN BANCORP INC,MPB
0000883948,6022,STATE COMMERCIAL BANKS,Union Bankshares Corp,UBSH
0000886982,6211,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",GOLDMAN SACHS GROUP INC,GS
0000887343,6022,STATE COMMERCIAL BANKS,COLUMBIA BANKING SYSTEM INC,COLB
0000887919,6022,STATE COMMERCIAL BANKS,PREMIER FINANCIAL BANCORP INC,PFBI
0000889936,6022,STATE COMMERCIAL BANKS,"PRIVATEBANCORP, INC",PVTB
0000890066,6022,STATE COMMERCIAL BANKS,GLEN BURNIE BANCORP,GLBZ
0000891098,6022,STATE COMMERCIAL BANKS,STERLING BANCSHARES INC,SBIB
0000891106,6036,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED",STERLING FINANCIAL CORP /WA/,STSA
0000893847,6021,NATIONAL COMMERCIAL BANKS,"HAWTHORN BANCSHARES, INC.",HWBK
0000894671,6022,STATE COMMERCIAL BANKS,OHIO VALLEY BANC CORP,OVBC
0000895421,6211,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",MORGAN STANLEY,MS
0000906465,6022,STATE COMMERCIAL BANKS,QCR HOLDINGS INC,QCRH
0000908837,6029,"COMMERCIAL BANKS, NEC",NB&T FINANCIAL GROUP INC,NBTF
0000910073,6036,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED",NEW YORK COMMUNITY BANCORP INC,NYB
0000910679,6036,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED",WVS FINANCIAL CORP,WVFC
0000913341,6022,STATE COMMERCIAL BANKS,C & F FINANCIAL CORP,CFFI
0000914138,6021,NATIONAL COMMERCIAL BANKS,MIDDLEBURG FINANCIAL CORP,MBRG
0000914374,6022,STATE COMMERCIAL BANKS,SOUTHWEST BANCORP INC,OKSB
0000916907,6036,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED","SOUTHERN MISSOURI BANCORP, INC.",SMBC
0000920112,6022,STATE COMMERCIAL BANKS,HEARTLAND FINANCIAL USA INC,HTLF
0000921547,6022,STATE COMMERCIAL BANKS,HERITAGE OAKS BANCORP,HEOP
0000921557,6022,STATE COMMERCIAL BANKS,REPUBLIC BANCORP INC /KY/,RBCAA
0000921590,6035,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",VALLEY FINANCIAL CORP /VA/,VYFC
0000922487,6022,STATE COMMERCIAL BANKS,ROYAL BANCSHARES OF PENNSYLVANIA INC,RBPAA
0000926164,6035,"SAVINGS INSTITUTION, FEDERALLY CHARTERED","PROVIDENT COMMUNITY BANCSHARES, INC.",PCBS
0000927628,6021,NATIONAL COMMERCIAL BANKS,CAPITAL ONE FINANCIAL CORP,COF
0000927807,6021,NATIONAL COMMERCIAL BANKS,INTERVEST BANCSHARES CORP,IBCA
0000932781,6022,STATE COMMERCIAL BANKS,FIRST COMMUNITY CORP /SC/,FCCO
0000933141,6022,STATE COMMERCIAL BANKS,IBERIABANK CORP,IBKC
0000933590,6022,STATE COMMERCIAL BANKS,"Your Community Bankshares, Inc.",CBIN
0000934538,6022,STATE COMMERCIAL BANKS,TECHE HOLDING CO,TSH
0000934547,6035,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",BANK OF KENTUCKY FINANCIAL CORP,BKYF
0000944745,6022,STATE COMMERCIAL BANKS,"CIVISTA BANCSHARES, INC.",
0000946090,6022,STATE COMMERCIAL BANKS,CAPITAL TRUST HOLDINGS INC.,FMAR
0000946673,6022,STATE COMMERCIAL BANKS,BANNER CORP,BANR
0000947559,6021,NATIONAL COMMERCIAL BANKS,FIRST BANCSHARES INC /MS/,FBMS
0001005817,6022,STATE COMMERCIAL BANKS,TOMPKINS FINANCIAL CORP,TMP
0001007273,6022,STATE COMMERCIAL BANKS,BANK OF SOUTH CAROLINA CORP,BKSC
0001011659,6021,NATIONAL COMMERCIAL BANKS,MUFG Americas Holdings Corp,UB
0001013272,6022,STATE COMMERCIAL BANKS,NORWOOD FINANCIAL CORP,NWFL
0001013796,6022,STATE COMMERCIAL BANKS,TIB FINANCIAL CORP.,TIBB
0001015328,6022,STATE COMMERCIAL BANKS,WINTRUST FINANCIAL CORP,WTFC
0001017793,6029,"COMMERCIAL BANKS, NEC",SUN BANCORP INC /NJ/,SNBC
